Interaction_Date,KOL _Name,Current_Tier,Kol_Qualification,Therapeutic_Area,Speciality_within_TA,KOL_years_of_Experience,Adoption_Ladder,KOL_Location,KOL_Territory,SocialMedia_Twitter,SocialMedia_Linkedin,SocialMedia_YouTube,Overall_Kol_Rating,Connection_to_Advisory_Boards,Research_Participated,Research_Experience,Fundinghistory_researchgrants,Fundinghistory_ConsultingFees,Fundinghistory_researchgrants,No_Of_Publications,Trainings_Delivered,Professional_Certification,KOL_affiliations_academicinstitutions,KOL_Affiliations_Hospital_and_medical_Centres,KOL_Affiliations_ProfessionalAssocaitionsandsocities,KOL_Affiliations_Pharma_and_biotech_companies,KOL_Affiliations_Government_and_Regulatory_bodies,KOL_Affiliations_patientadvocacy_and_nonprofit_organisations,Internationa_Presentations_Presented,National_ntations_Presented,KOL_FollowUp,Previous_meeting_agenda,Previous_Meeting_SubTopics,Current_Discussion_Topic,Current_Meeting_Subtopics,Current_Channel_of_interaction,Company_Event,Interaction_intent,Items/topics_to_exchange,KOLMSL_Relation,Next_Action_Items,Proposed_Next_Channel_Of_interaction
3-Sep-21,Michelle Fox,International,"MD,PhD",Oncology,Blood Cancer,7,3,New York City,East Coast,46K,35K,30K,4.5,6,10,6,95000,400,64000,18,18,10,2,2,3,4,2,1,7,70,Yes,Prevention or reduction of treatment toxicities,How to prevent treatent toxicities,Strategy for Implementation of Supportive Care Within Cancer Care,Focuses on Strategy for Implementation of Supportive Care,In-Person,Medical Conference for Blood Cancer,Strategy for Implementation of Supportive Care Within Cancer Care,Strategy for Implementation of Supportive Care,Neutral,Emerging therapies and Clinical Trials​​,Video
24-Oct-21,Michelle Fox,International,"MD,PhD",Oncology,Blood Cancer,7,3,New York City,East Coast,46K,35K,30K,4.5,6,10,6,96000,400,80000,19,18,10,2,2,3,4,2,1,7,70,Yes,Strategy for Implementation of Supportive Care Within Cancer Care,Focuses on Strategy for Implementation of Supportive Care,Emerging therapies and Clinical Trials​​,Emerging therapies and Clinical Trials​​ in blood cancer,Video,Medical Conference for Blood Cancer,Different types of Emerging therapies and Clinical Trials​​ in blood cancer,Emerging therapies and Clinical Trials​​,Good,Collaborative Approaches and Multidisciplinary Care​​,email
2-Apr-19,Michael stark,National,MD,Oncology,Blood Cancer,6,3,Denver,Colorado,9K,6K,10K,4.1,5,5,4,32000,100,26000,4,4,3,1,1,3,4,2,3,0,60,Yes,No,No,"aspects of a survivor's physical, mental, psychosocial, and spiritual health",Different aspects of survivor,email,Medical Conference for Blood Cancer,Discussion aspects of a survivor,aspects of a survivor,Good,aspects of a survivor,email
23-May-19,Michael stark,National,MD,Oncology,Blood Cancer,6,3,Denver,Colorado,9K,6K,10K,3.9,5,5,4,33000,100,27000,4,5,3,1,1,3,4,2,3,0,60,No,No,No,Introduction to Lymphoma Cancer,Brief information about Lymphoma,In-Person,Medical Conference for Blood Cancer,"General overview of lymphoma cancer, its definition, and its classification.",lymphoma cancer,Neutral,Types of Lymphoma,In-Person
2-Jun-19,Michael stark,National,MD,Oncology,Blood Cancer,6,3,Denver,Colorado,9K,6K,10K,4,5,5,4,33000,100,28000,4,5,4,1,1,3,4,2,3,0,60,Yes,Introduction to Lymphoma Cancer,Brief information about Lymphoma,Types of Lymphoma,Discussing the two main types of lymphoma,In-Person,Medical Conference for Blood Cancer,"Discussing the two main types of lymphoma, namely Hodgkin lymphoma (HL) and non-Hodgkin lymphoma (NHL), along with their subtypes, characteristics, and differences.",Types & sub-types of Lymphoma,Neutral,Causes and Risk Factors,email
12-Aug-19,Michael stark,National,MD,Oncology,Blood Cancer,6,3,Denver,Colorado,10K,8K,12K,3.8,5,5,4,33000,100,28000,4,5,4,1,1,3,4,2,3,0,60,Yes,Types of Lymphoma,Discussing the two main types of lymphoma,Causes and Risk Factors,Exploring the potential causes and risk factors associated with lymphoma,email,Medical Conference for Blood Cancer,"potential causes and risk factors associated with lymphoma, including genetic predisposition, viral infections (such as Epstein-Barr virus), immune system disorders, and environmental factors.",Exploring the potential causes and risk factors associated with lymphoma,Neutral,Symptoms and Diagnosis,Video
30-Sep-19,Michael stark,National,MD,Oncology,Blood Cancer,6,3,Denver,Colorado,11K,10K,12K,3.8,5,5,4,33000,125,28000,4,5,4,1,1,3,4,2,3,0,60,No,No,No,Symptoms and Diagnosis,"Highlighting the common symptoms of lymphoma,",Video,Medical Conference for Blood Cancer,"The common symptoms of lymphoma, such as enlarged lymph nodes, fatigue, night sweats, and unexplained weight loss. Additionally, discussing the diagnostic procedures used to identify and confirm lymphoma, such as biopsies, imaging tests, and blood tests.","Discussing the diagnostic procedures used to identify and confirm lymphoma, such as biopsies, imaging tests, and blood tests.",Good,Staging and Prognosis,In-Person
4-Oct-19,Michael stark,National,MD,Oncology,Blood Cancer,6,3,Denver,Colorado,11K,10K,12K,4.1,6,6,5,34000,150,29000,5,6,4,1,1,3,4,2,3,0,60,No,No,No,Staging and Prognosis,Describing the staging system used for lymphoma,In-Person,Medical Conference for Blood Cancer,Describing the staging system used for lymphoma to determine the extent and spread of the disease.,"Discussing the factors that affect prognosis, including stage, subtype, age, and overall health.",Neutral,Treatment Options of Lymphoma,Video
16-Nov-19,Michael stark,National,MD,Oncology,Blood Cancer,6,3,Denver,Colorado,11K,10K,12K,3.8,6,6,5,34000,150,29000,5,6,4,1,1,3,4,2,3,0,60,Yes,Staging and Prognosis,Describing the staging system used for lymphoma,Treatment Options of Lymphoma,Providing an overview of the various treatment,Video,Medical Conference for Blood Cancer,"Treatment options available for lymphoma, including chemotherapy, radiation therapy, immunotherapy, targeted therapy, and stem cell transplantation.",Discussing the importance of individualized treatment plans based on factors like subtype and stage.,Neutral,Use of chemotherapy as a treatment,In-Person
9-Dec-19,Michael stark,National,MD,Oncology,Blood Cancer,6,3,Denver,Colorado,15K,10K,14K,3.9,6,6,5,34000,150,29000,5,6,5,1,1,3,4,2,3,0,60,No,No,No,Use of chemotherapy as a treatment,Exploring the use of chemotherapy as a treatment modality for various types of cancer,In-Person,Medical Conference for Blood Cancer,"Chemotherapy treatment for various types of cancer, including its mechanism of action, common drugs used, administration methods, and potential side effects.",Discussing the aspects of Chemotherapy,Neutral,"Discussing the role of radiation therapy in cancer treatment,",Video
3-Jan-20,Michael stark,National,MD,Oncology,Blood Cancer,6,3,Denver,Colorado,15K,10K,14K,3.9,6,6,5,34000,150,29000,5,6,5,1,1,3,4,2,3,0,60,No,No,No,Discussing the role of radiation therapy in cancer treatment,Radiation therapy in cancer treatment,Video,Medical Conference for Blood Cancer,"Role of radiation therapy in cancer treatment, including its use for localized tumor control, different delivery techniques (e.g., external beam radiation, brachytherapy), and potential side effects.",Discussing the aspects of radiation therapy,Neutral,Importance of surgery as a treatment modality,email
12-Feb-20,Michael stark,National,MD,Oncology,Blood Cancer,7,3,Denver,Colorado,15K,13K,14K,4,6,7,5,34000,150,29000,5,6,5,1,1,3,4,2,3,0,70,No,No,No,Importance of surgery as a treatment modality,Highlighting the importance of surgery as a treatment modality,email,Medical Conference for Blood Cancer,"Surgery as a treatment modality, including its role in tumor removal, lymph node dissection, reconstructive procedures, and potential risks and complications.",Importance of surgery,Neutral,Field of immunotherapy,In-Person
3-Mar-20,Michael stark,National,MD,Oncology,Blood Cancer,7,3,Denver,Colorado,15K,13K,14K,3.8,6,7,6,36000,150,30000,6,6,5,1,1,3,4,2,3,0,70,No,No,No,Field of immunotherapy,"Exploring the field of immunotherapy, which harnesses the body's immune system to fight cancer.",,Medical Conference for Blood Cancer,"Exploring the field of immunotherapy, which harnesses the body's immune system to fight cancer.","Immune checkpoint inhibitors, CAR-T cell therapy, cancer vaccines, and their potential benefits and side effects.",Neutral,Targeted Therapy,email
20-Apr-20,Michael stark,National,MD,Oncology,Blood Cancer,7,3,Denver,Colorado,15K,13K,15K,3.8,6,7,6,36000,150,30000,6,6,5,1,1,3,4,2,3,0,70,No,No,No,Targeted Therapy,"Discussing targeted therapy, which involves using drugs that specifically target cancer cells",email,Medical Conference for Blood Cancer,"Targeted therapy, which involves using drugs that specifically target cancer cells' unique features or vulnerabilities. Topics may include molecular targeted therapy, kinase inhibitors, and monoclonal antibodies.",Different aspects of Targeted Therapy,Neutral,Hormonal Therapy,email
30-May-20,Michael stark,National,MD,Oncology,Blood Cancer,7,3,Denver,Colorado,13.5K,13K,14K,4.1,6,7,6,36000,150,30000,6,6,5,1,1,3,4,2,3,0,70,No,No,No,Hormonal Therapy,"Exploring hormonal therapy as a treatment option for hormone-sensitive cancers, such as breast or prostate cancer.",email,Medical Conference for Blood Cancer,"Discussing the use of hormone blockers, hormone receptor modulators, and potential side effects.","Exploring hormonal therapy as a treatment option for hormone-sensitive cancers, such as breast or prostate cancer.",Neutral,Stem Cell Transplantation,email
4-Jun-20,Michael stark,National,MD,Oncology,Blood Cancer,7,3,Denver,Colorado,14K,13K,15K,4.2,6,7,6,38000,150,30000,6,6,5,1,1,3,4,2,3,0,70,No,No,No,Stem Cell Transplantation,Exploring the use of stem cell transplantation,email,Medical Conference for Blood Cancer,"Use of stem cell transplantation, such as autologous or allogeneic transplant, as a treatment modality for certain cancers, including the process, potential complications, and long-term effects.",Exploring the use of stem cell transplantation,Neutral,Palliative Care,email
12-Jul-20,Michael stark,National,MD,Oncology,Blood Cancer,7,3,Denver,Colorado,14K,15K,17K,4.2,6,7,6,40000,150,30000,6,7,5,1,1,3,4,2,3,0,70,No,No,No,Palliative Care,Highlighting the importance of palliative care,email,Medical Conference for Blood Cancer,"Palliative care in cancer treatment, focusing on managing symptoms, improving quality of life, and providing emotional and psychological support for patients and their families.",Details abot Palliative Care,Neutral,Introduction to Personalized Medicine in Blood Cancer,Video
1-Aug-20,Michael stark,National,MD,Oncology,Blood Cancer,7,3,Denver,Colorado,16K,15K,16.5K,4.2,6,7,6,40000,150,30000,6,7,5,1,1,3,4,2,3,0,70,No,No,No,Introduction to Personalized Medicine in Blood Cancer,Providing an overview of personalized medicine and its application in the field of blood cancer,Video,Medical Conference for Blood Cancer,Overview of personalized medicine and its application in the field of blood cancer,Emphasizing the importance of individualized treatment approaches.,Neutral,Molecular Profiling in Blood Cancer,Video
17-Oct-20,Michael stark,National,MD,Oncology,Blood Cancer,7,3,Denver,Colorado,17K,15K,16K,4.2,6,7,7,40000,150,30000,7,7,5,1,1,3,4,2,3,0,70,Yes,Introduction to Personalized Medicine in Blood Cancer,Providing an overview of personalized medicine and its application in the field of blood cancer,Molecular Profiling in Blood Cancer,"Exploring the role of molecular profiling techniques,",Video,Medical Conference for Blood Cancer,"Role of molecular profiling techniques, such as next-generation sequencing, in identifying genetic mutations and alterations in blood cancer cells.",Discussing how these profiles guide treatment decisions,Neutral,Targeted Therapies in Blood Cancer,Video
5-Nov-20,Michael stark,National,MD,Oncology,Blood Cancer,7,3,Denver,Colorado,20K,15K,15.5K,4.2,6,7,7,40000,150,30000,7,7,5,1,1,3,4,2,3,0,70,Yes,Molecular Profiling in Blood Cancer,"Exploring the role of molecular profiling techniques,",Targeted Therapies in Blood Cancer,Discussing the use of targeted therapies,Video,Medical Conference for Blood Cancer,Targeted therapies that specifically target molecular abnormalities identified through molecular profiling.,"Highlighting examples of targeted therapies used in different types of blood cancers, such as tyrosine kinase inhibitors or monoclonal antibodies.",Neutral,Genomic Testing in Blood Cancer,In-Person
23-Dec-20,Michael stark,National,MD,Oncology,Blood Cancer,7,3,Denver,Colorado,20K,15K,16K,4.2,6,7,7,40000,150,30000,8,7,5,2,2,3,4,2,1,0,70,Yes,Targeted Therapies in Blood Cancer,Discussing the use of targeted therapies,Genomic Testing in Blood Cancer,Exploring the use of genomic testing to identify specific genetic mutations or rearrangements in the genome of blood cancer cells.,In-Person,Medical Conference for Blood Cancer,Discussing how these tests help in treatment selection and predicting response to therapies.,Exploring the use of genomic testing to identify specific genetic mutations or rearrangements in the genome of blood cancer cells.,Neutral,Liquid Biopsies in Blood Cancer,In-Person
2-Jan-21,Michael stark,National,MD,Oncology,Blood Cancer,8,3,Denver,Colorado,20K,14K,16K,4.2,6,8,7,41000,200,30500,8,9,5,2,2,3,4,2,1,0,80,No,No,No,Liquid Biopsies in Blood Cancer,Discussing the emerging role of liquid biopsies,In-Person,Medical Conference for Blood Cancer,"Role of liquid biopsies, such as circulating tumor DNA (ctDNA) analysis, in monitoring treatment response, detecting minimal residual disease, and identifying resistance mechanisms in blood cancer.",Discussing the emerging role of liquid biopsies,Good,Immunotherapy in Blood Cancer,Video
10-Feb-21,Michael stark,National,MD,Oncology,Blood Cancer,8,3,Denver,Colorado,20K,14.5K,16K,4.1,6,8,7,41000,200,32000,8,10,6,2,2,3,4,2,1,0,80,No,No,No,Immunotherapy in Blood Cancer,Exploring the use of immune-based therapies,Video,Medical Conference for Blood Cancer,"Immune-based therapies, such as immune checkpoint inhibitors, chimeric antigen receptor (CAR) T-cell therapy, or bispecific antibodies, in personalized treatment approaches for blood cancer.",Exploring the use of immune-based therapies,Good,Prognostic and Predictive Biomarkers,Video
13-Mar-21,Michael stark,National,MD,Oncology,Blood Cancer,8,3,Denver,Colorado,20K,15K,16K,4.2,6,8,7,41000,200,32000,8,10,6,2,2,3,4,2,1,0,80,No,No,No,Prognostic and Predictive Biomarkers,Discussing the importance of prognostic and predictive biomarkers in blood cancer,Video,Medical Conference for Blood Cancer,"Importance of prognostic and predictive biomarkers in blood cancer, such as gene mutations, gene expression profiles, or protein markers, to predict disease outcome and guide treatment decisions.",Importance of prognostic and predictive biomarkers in blood cancer,Good,Challenges and limitations associated with personalized medicine in blood cancer,email
1-Apr-21,Michael stark,National,MD,Oncology,Blood Cancer,8,3,Denver,Colorado,20K,15K,16K,4.3,6,8,7,43000,200,32000,8,10,6,2,2,3,4,2,1,0,80,No,No,No,Challenges and limitations associated with personalized medicine in blood cancer,"the need for comprehensive molecular profiling, heterogeneity of cancer cells, and the cost and accessibility of targeted therapies.",email,Medical Conference for Blood Cancer,"comprehensive molecular profiling, heterogeneity of cancer cells",Challenges and limitations associated with personalized medicine in blood cancer,Neutral,Future Perspectives and Clinical Trials,email
6-Jun-21,Michael stark,National,MD,Oncology,Blood Cancer,8,3,Denver,Colorado,19K,15K,18K,4.3,7,8,8,43000,200,32000,8,10,6,2,2,3,4,2,1,0,80,No,No,No,Future Perspectives and Clinical Trials,Highlighting ongoing research efforts and clinical trials in personalized medicine for blood cancer,email,Medical Conference for Blood Cancer,"Discussing emerging technologies, novel therapeutic targets, and potential advancements in treatment strategies.",Highlighting ongoing research efforts and clinical trials in personalized medicine for blood cancer,Neutral,Importance of Supportive Care in Cancer Treatment,In-Person
22-Aug-21,Michael stark,National,MD,Oncology,Blood Cancer,8,3,Denver,Colorado,19K,15K,18K,4.3,7,8,8,43000,200,32000,9,10,6,2,2,3,4,2,1,0,80,No,No,No,Importance of Supportive Care in Cancer Treatment,Details and definations of Supportive Care,In-Person,Medical Conference for Blood Cancer,"Discussing the crucial role of supportive care in addressing the physical, emotional, and psychosocial needs of cancer patients throughout their treatment journey.",Discussion on the crucial role of supportive care in the Cancer patient life,Neutral,Managing Treatment Side Effects,In-Person
15-Sep-21,Michael stark,National,MD,Oncology,Blood Cancer,8,3,Denver,Colorado,19K,15K,18K,4.3,7,8,8,43000,200,32500,9,10,6,2,2,3,4,2,1,0,80,No,No,No,Managing Treatment Side Effects,Exploring common treatment-related side effects,In-Person,Medical Conference for Blood Cancer,"Common treatment-related side effects, such as nausea, pain, fatigue, and hair loss,",Discussing strategies and interventions to alleviate and manage these symptoms effectively.,Neutral,Psychological Support for Cancer Patients,email
28-Oct-21,Michael stark,National,MD,Oncology,Blood Cancer,8,3,Denver,Colorado,19K,16K,18K,4.5,7,8,8,45000,200,33000,9,10,6,2,2,3,4,2,1,0,80,No,No,No,Psychological Support for Cancer Patients,Discussion on the Psychological Support for Cancer Patients,email,Medical Conference for Blood Cancer,"Highlighting the significance of addressing the emotional and psychological well-being of cancer patients through counseling, therapy, support groups, and other psychosocial interventions.",Emotional and psychological well-being of cancer patients,Neutral,Nutritional Support during and after Cancer Treatment,Video
1-Dec-21,Michael stark,National,MD,Oncology,Blood Cancer,8,3,Denver,Colorado,19K,17K,17.5K,4.5,7,9,8,45000,200,33000,9,10,7,2,2,3,4,2,1,0,80,No,No,No,Nutritional Support during and after Cancer Treatment,"Discussing the importance of proper nutrition for cancer patients, addressing dietary challenges,",Video,Medical Conference for Blood Cancer,"Discussing the importance of proper nutrition for cancer patients, addressing dietary challenges,",Providing guidance on maintaining a healthy diet during and after treatment to support recovery and overall well-being.,Neutral,Pain Management in Cancer,Video
10-Jan-22,Michael stark,National,MD,Oncology,Blood Cancer,8,3,Denver,Colorado,22K,17K,17.5K,4.5,7,9,8,45000,200,33000,9,10,7,2,2,3,4,2,1,0,80,No,No,No,Pain Management in Cancer,Exploring approaches to pain management in cancer patients,Video,Medical Conference for Blood Cancer,"Use of medication, non-pharmacological interventions, and palliative care techniques to improve pain control and enhance quality of life.",Exploring approaches to pain management in cancer patients,Neutral,Survivorship Care Plans,Video
4-Feb-22,Michael stark,National,MD,Oncology,Blood Cancer,9,3,Denver,Colorado,26K,17K,17.5K,4.1,7,9,8,45000,200,33000,9,10,7,2,2,3,4,2,1,0,90,No,No,No,Survivorship Care Plans,Discussing the development and implementation of survivorship care plans,Video,Medical Conference for Blood Cancer,"Outline long-term follow-up care, monitoring for recurrence, managing late effects of treatment, and addressing the unique needs of cancer survivors.",Discussing the development and implementation of survivorship care plans,Neutral,Fertility Preservation,Video
9-Mar-22,Michael stark,National,MD,Oncology,Blood Cancer,9,3,Denver,Colorado,26K,17K,17.5K,4.2,8,9,9,45000,200,33000,10,11,7,2,2,3,4,2,1,0,90,No,No,No,Fertility Preservation,Exploring the importance of fertility preservation options for cancer patients,Video,Medical Conference for Blood Cancer,"Discussing available techniques, and highlighting the need for early discussions and referrals to fertility specialists.",Exploring the importance of fertility preservation options for cancer patients,Neutral,Rehabilitation and Physical Therapy,In-Person
13-Apr-22,Michael stark,National,MD,Oncology,Blood Cancer,9,3,Denver,Colorado,26K,19K,17.5K,4,8,9,9,45000,200,33000,10,12,7,2,2,3,4,2,1,0,90,No,No,No,Rehabilitation and Physical Therapy,Role of rehabilitation and physical therapy in cancer survivorship,In-Person,Medical Conference for Blood Cancer,"Discussing the role of rehabilitation and physical therapy in cancer survivorship, focusing on restoring physical function, managing treatment-related impairments, and improving overall quality of life.","Focusing on restoring physical function, managing treatment-related impairments, and improving overall quality of life.",Neutral,Managing Fear of Recurrence,In-Person
12-May-22,Michael stark,National,MD,Oncology,Blood Cancer,9,3,Denver,Colorado,26K,20K,18K,3.9,8,9,9,45000,200,33000,10,12,7,2,2,3,4,2,1,0,90,Yes,Rehabilitation and Physical Therapy,Role of rehabilitation and physical therapy in cancer survivorship,Managing Fear of Recurrence,Addressing the common fear of cancer recurrence among survivors,In-Person,Medical Conference for Blood Cancer,"Providing strategies for coping with anxiety, incorporating mindfulness practices, and promoting mental well-being.","Focusing on restoring physical function, managing treatment-related impairments, and improving overall quality of life.",Neutral,Support for Caregivers and Family Members,In-Person
7-Jun-22,Michael stark,National,MD,Oncology,Blood Cancer,9,3,Denver,Colorado,26K,22K,18K,4.1,8,9,9,47000,225,34000,10,12,7,2,2,3,4,2,1,0,90,No,No,No,Support for Caregivers and Family Members,Recognizing the vital role of caregivers and family members in the support network of cancer patients,In-Person,Medical Conference for Blood Cancer,"Discussing resources, support services, and self-care strategies to help them navigate the challenges they face.",Recognizing the vital role of caregivers and family members in the support network of cancer patients,Neutral,Late Effects of Cancer Treatment,Video
22-Jul-22,Michael stark,National,MD,Oncology,Blood Cancer,9,3,Denver,Colorado,26K,22K,18K,4.3,8,9,9,47500,225,34500,10,12,8,2,2,3,4,2,1,0,90,No,No,No,Late Effects of Cancer Treatment,Exploring the potential long-term effects and complications,Video,Medical Conference for Blood Cancer,"Effects and complications that can arise as a result of cancer treatments, such as chemotherapy, radiation therapy, and surgery.",Effect of cancer on human body,Neutral,Cardiac Complications,Video
13-Aug-22,Michael stark,National,MD,Oncology,Blood Cancer,9,3,Denver,Colorado,28K,22K,18K,4.5,8,10,9,48000,225,35000,10,12,9,2,2,3,4,2,1,0,90,Yes,Late Effects of Cancer Treatment,Exploring the potential long-term effects and complications,Cardiac Complications,"Discussing the increased risk of cardiovascular issues,",Video,Medical Conference for Blood Cancer,"Risk of cardiovascular issues, such as heart disease, heart failure, and arrhythmias, as potential long-term effects of certain cancer treatments.","Discussing the increased risk of cardiovascular issues,",Neutral,Cognitive Dysfunction,Video
5-Sep-22,Michael stark,National,MD,Oncology,Blood Cancer,9,3,Denver,Colorado,30K,25K,19K,4.6,8,10,9,48000,225,35000,10,14,10,2,2,3,4,2,1,0,90,No,No,No,Cognitive Dysfunction,"Exploring the phenomenon commonly referred to as ""chemo brain"" or ""cancer-related cognitive impairment,",Video,Medical Conference for Blood Cancer,"Discussing the cognitive changes and difficulties in memory, attention, and thinking that some cancer survivors may experience.",Cognitive Dysfunction,Neutral,Second Primary Cancers,Video
6-Oct-22,Michael stark,National,MD,Oncology,Blood Cancer,9,3,Denver,Colorado,30K,25K,20K,4.4,8,10,9,48000,225,35000,10,14,10,2,2,3,4,2,1,0,90,No,No,No,Second Primary Cancers,Discussing the risk of developing secondary cancers,Video,Medical Conference for Blood Cancer,"Risk of developing secondary cancers as a late complication of cancer treatment,",Importance of long-term surveillance and screening for early detection.,Neutral,Endocrine Dysfunction,In-Person
10-Nov-22,Michael stark,National,MD,Oncology,Blood Cancer,9,3,Denver,Colorado,30K,25K,22K,4.7,8,10,10,50000,250,37000,10,14,10,2,2,3,4,2,1,0,90,No,No,No,Endocrine Dysfunction,Exploring the potential impact of cancer treatments on the endocrine system,In-Person,Medical Conference for Blood Cancer,"e potential impact of cancer treatments on the endocrine system, leading to hormone imbalances, thyroid dysfunction, or adrenal insufficiency, among others.",potential impact of cancer treatments,Neutral,Quality of Life and Survivorship,In-Person
13-Dec-22,Michael stark,National,MD,Oncology,Blood Cancer,9,3,Denver,Colorado,30K,25K,25K,4.8,8,10,10,50000,250,37000,10,14,10,2,2,3,4,2,1,0,90,No,No,No,Quality of Life and Survivorship,Addressing the overall impact of long-term effects and late complications on cancer survivors' quality of life.,In-Person,Medical Conference for Blood Cancer,"Discussing strategies to manage and cope with these challenges, and highlighting the importance of survivorship care and support services.",Addressing the overall impact of long-term effects and late complications on cancer survivors' quality of life.,Neutral,Gastrointestinal and Digestive Issues,In-Person
3-Apr-19,Dr. Rachel Dunphy,International,"MD, Ph.D.",Oncology,Myleoma Cancer,20,2,California,Western USA,18732,4352,14432,4.8,4,7,16,30.7K,400,40K,27,14,8,1,1,0,0,0,0,20,100,No,Overview,Finalizing the trends to focus upon,Introduction to the medical drug,Historical background and discovery process.,Video Call,Clinical Trials,Inquire about the timeline and key milestones in the drug's development.,Basics of the medication explained,Good,"Prepare a comprehensive presentation highlighting the key features, benefits, and indications of the drug for educational purposes.",Video Call
10-May-19,Dr. Rachel Dunphy,International,"MD, Ph.D.",Oncology,Myleoma Cancer,20,2,California,Western USA,18732,4352,14432,4.8,4,7,16,43.3K,400,50K,27,14,8,1,1,0,0,0,0,20,100,Yes,Introduction to the medical drug,Historical background and discovery process.,Mechanism of action,Specific molecular targets and signaling pathways affected by the drug.,Video Call,Clinical Trials,Seek information on how the drug interacts with specific cellular targets and modulates signaling pathways.,How the drug works in the body,Good,"Conduct a literature review and present a summary of the latest research on the drug's mechanism of action, including any recent discoveries or updates.",Video Call
16-Jun-19,Dr. Rachel Dunphy,International,"MD, Ph.D.",Oncology,Myleoma Cancer,20,2,California,Western USA,18732,4352,14432,4.8,4,7,16,44K,400,50K,27,14,8,1,1,0,1,0,0,20,100,Yes,Mechanism of action,Specific molecular targets and signaling pathways affected by the drug.,Clinical uses and indications,Approved medical conditions and off-label uses.,Video Call,Clinical Trials,Explore the drug's approved uses and potential off-label applications.,Conditions for which the drug is prescribed,Neutral,"Organize a training session for healthcare professionals to educate them about the clinical uses and indications of the drug, focusing on specific patient populations and conditions.",Phone Call
23-Jul-19,Dr. Rachel Dunphy,International,"MD, Ph.D.",Oncology,Myleoma Cancer,20,3,California,Western USA,18732,4352,14432,4.8,4,7,16,50K,400,52K,27,14,8,1,1,0,1,0,0,20,100,Yes,Clinical uses and indications,Approved medical conditions and off-label uses.,Dosage and administration,Recommended dosing regimens and considerations for different patient populations.,Phone Call,Clinical Trials,Request guidance on appropriate dosage and any specific considerations for different patient groups.,Proper way to take and use the drug,Neutral,"Develop clear and concise guidelines for the appropriate dosage and administration of the drug, ensuring that healthcare professionals have easy access to this information.",Phone Call
29-Aug-19,Dr. Rachel Dunphy,International,"MD, Ph.D.",Oncology,Myleoma Cancer,20,3,California,Western USA,18732,4352,14432,4.8,4,7,16,52K,400,54K,27,14,8,1,1,0,1,0,0,20,100,Yes,Dosage and administration,Recommended dosing regimens and considerations for different patient populations.,Pharmacokinetics of the drug,"Absorption, distribution, metabolism, and excretion of the drug in the body.",Phone Call,Clinical Trials,"Understand how the drug is absorbed, distributed, metabolized, and eliminated in the body.",How the body processes and absorbs the drug,Good,"Collaborate with a pharmacokinetics expert to conduct a study on the drug's pharmacokinetic profile, aiming to optimize dosing regimens and improve therapeutic outcomes.",Video Call
5-Oct-19,Dr. Rachel Dunphy,International,"MD, Ph.D.",Oncology,Myleoma Cancer,20,3,California,Western USA,18732,4352,14432,4.8,4,7,16,58K,400,60K,27,14,8,1,1,0,1,0,0,20,100,Yes,Pharmacokinetics of the drug,"Absorption, distribution, metabolism, and excretion of the drug in the body.",Pharmacodynamics of the drug,Biological effects and mechanisms of action at the cellular level.,Video Call,Clinical Trials,Learn about the drug's specific biological effects and its mechanisms of action within cells.,The effects the drug has on the body,Good,"Design and implement in vitro and in vivo experiments to explore the drug's pharmacodynamics, providing insights into its interactions with cellular targets and the resulting physiological effects.",Video Call
11-Nov-19,Dr. Rachel Dunphy,International,"MD, Ph.D.",Oncology,Myleoma Cancer,20,4,California,Western USA,18732,4352,14432,4.8,4,7,16,70K,400,80K,27,14,8,1,1,0,1,1,0,20,100,Yes,Pharmacodynamics of the drug,Biological effects and mechanisms of action at the cellular level.,Drug interactions,Interactions with specific classes of medications or substances.,Video Call,Clinical Trials,Identify potential interactions between the drug and other specific medications or substances.,Interactions between the drug and other substances,Good,"Create an online resource or reference guide that lists potential drug interactions with the focus drug, highlighting the importance of monitoring and managing these interactions.",Video Call
18-Dec-19,Dr. Rachel Dunphy,International,"MD, Ph.D.",Oncology,Myleoma Cancer,20,4,California,Western USA,18732,4352,14432,4.8,4,7,16,80K,400,100K,27,14,8,1,0,2,2,3,0,20,100,Yes,Drug interactions,Interactions with specific classes of medications or substances.,Adverse effects and side effects,Common and rare adverse reactions associated with the drug.,Video Call,Clinical Trials,Inquire about the known side effects and adverse reactions linked to the drug's use.,Unwanted reactions or effects of the drug,Neutral,"Develop a comprehensive adverse effects and side effects profile for the drug, including a system for reporting and monitoring adverse events in patients.",Phone Call
24-Jan-20,Dr. Rachel Dunphy,International,"MD, Ph.D.",Oncology,Myleoma Cancer,21,5,California,Western USA,18732,4352,14432,4.8,4,7,16,80K,400,100K,27,14,8,1,0,2,2,3,0,21,105,Yes,Adverse effects and side effects,Common and rare adverse reactions associated with the drug.,Contraindications for the drug,Medical conditions or patient characteristics that warrant avoiding the drug's use.,Phone Call,Clinical Trials,Seek information on the contraindications or precautions associated with specific medical conditions or patient characteristics.,Situations where the drug should not be used,Neutral,Create a checklist or decision support tool to help healthcare professionals identify contraindications and ensure safe and appropriate use of the drug.,Phone Call
